,tweet
55,"['mati', 'helen', 'tambah', 'duka', 'tragedi', 'kanjuruhan', 'korban', 'jiwa', '132', 'orang']"
56,"['lusa', 'kirim', 'lapor', 'tragedi', 'kanjuruhan', 'presiden']"
57,"['polresta', 'malang', 'kota', 'sambang', 'korban', 'tragedi', 'kanjuruhan', 'alami', 'iritasi', 'mata']"
58,"['machfud', 'md', 'tgipf', 'serah', 'hasil', 'investigasi', 'tragedi', 'kanjuruhan', 'presiden', 'jokowi', 'jumat', '1410']"
59,"['tragedi', 'kanjuruhan', 'klub', 'edukasi', 'supporter', 'peran', 'maju', 'kompetisi', 'sepakbola', 'indonesia', 'sehat', 'bas', 'prestasi']"
60,"['polisi', 'malang', 'sujud', 'massal', 'mohon', 'maaf', 'tragedi', 'kanjuruhan', 'etiket', 'dogeza', 'jepang']"
61,"['gas', 'air', 'mata', 'kedaluarsa', 'tragedi', 'kanjuruhan', 'sorot', 'amat', 'nilai', 'indikasi', 'korupsi', 'kandung', 'periksa', 'laboratorium']"
62,"['ade', 'armando', 'polisi', 'lantar', 'sebut', 'aremania', 'sok', 'jago', 'ucap', 'lontar', 'ade', 'video', 'kait', 'tragedi', 'rusuh', 'stadion', 'kanjuruhan']"
63,"['ade', 'armando', 'polisi', 'lantar', 'sebut', 'aremania', 'sok', 'jago', 'ucap', 'lontar', 'ade', 'video', 'kait', 'tragedi', 'rusuh', 'stadion', 'kanjuruhan']"
64,"['sosok', 'ganti', 'harta', 'kaya', 'kapolda', 'jawa', 'timur', 'ganti', 'irjen', 'nico', 'afinta', 'copot', 'buntut', 'tragedi', 'kanjuruhan']"
65,"['sangka', 'tragedi', 'kanjuruhan', 'ketua', 'panpel', 'arema', 'security', 'officer', 'periksa', '12', 'jam']"
66,"['gas', 'air', 'mata', 'tragedi', 'kanjuruhan', 'said', 'didu', 'malaikat', 'maut']"
67,"['ade', 'armando', 'polisi', 'kait', 'tragedi', 'kanjuruhan']"
68,"['11', 'awat', 'catat', 'teman', 'teman', 'sintas', 'tragedi', 'kanjuruhan', 'keluarga', 'rumah', 'pasien', 'usaha', 'ajak', 'ngobrol', 'biar', 'atur', 'jadwal', 'istirahat', 'yg', 'besuk', 'hindar', 'obrol', 'jadi']"
69,"['polisi', 'tragedi', 'kanjuruhan', 'sujud', 'maaf', 'malang', 'bela', 'jakarta']"
70,"['aamiin', 'aamiin', 'aamiin', 'ya', 'allah', 'ya', 'rabbal', 'allamin', 'usut', 'tuntas', 'tragedi', 'kanjuruhan']"
71,"['sangka', 'tragedi', 'kanjuruhan', 'dalih', 'tambah', 'tiket']"
72,"['korban', 'tinggal', 'tragedi', 'kanjuruhan', 'tambah', 'total', '132', 'orang']"
73,"['ya', 'allah', 'pantesan', 'bny', 'warga', 'yg', 'tinggal', 'tragedi', 'kanjuruhan']"
74,"['sambo', 'amp', 'tragedi', 'kanjuruhan', 'amp', 'tuhan', 'izin', 'kuasa', 'amp', 'aparat', 'yg', 'arogan', 'rakyat', 'pecah', 'akibat', 'fitnah', 'yg', 'sengaja', 'sebar', 'kuasa', 'aman', 'sambo', 'sp', '1', 'amp', 'kanjuruhan', 'sp2', 'siap', 'tuk', 'bahagia']"
75,"['sanksi', 'fifa', '2015', 'silam', 'ulang']"
76,"['bukti', 'tragedi', 'kanjuruhan', 'pegang', 'komnas', 'ham', 'video', 'kunci', 'isi', 'sebab', 'ricuh']"
77,"['sekjen', 'pssi', 'henti', 'kompetisi', 'level', 'grassroot', 'baca', 'berita', 'media', 'indonesia']"
78,"['polisi', 'kota', 'malang', 'sujud', 'maaf', 'kait', 'tragedi', 'kanjuruhan', 'bela', 'jakarta']"
79,"['tragedi', 'kanjuruhan', 'perintah', 'indonesia', 'waspada', 'sanksi', 'fifa', 'memori', '2015', 'ulang']"
