tweet,label
"Pada 9 September 2022, Bjorka kembali mengklaim memiliki dokumen surat-menyurat yang diduga milik Presiden Joko Widodo. / #Hacker #Bjorka #Pemerintah #Indonesia #Publik #DataBocor #Kebocorandata #JernihMelihatDunia   Baca di  https://t.co/3WkngP1d5N  https://t.co/4syRRHhnwc",negatif
"Pada 6 September 2022, Bjorka kembali membeberkan mengenai adanya kebocoran data sekitar 105 juta penduduk Indonesia. / #Hacker #Bjorka #Pemerintah #Indonesia #Kemenkominfo #Publik #DataBocor #Kebocorandata #JernihMelihatDunia   Baca di  https://t.co/3WkngP1d5N  https://t.co/ZmQRuU4Pzj",negatif
"31 Agustus 2022, Bjorka di Breached Forums kembali mengklaim memiliki file terkompresi sebesar 18 GB berisi data kartu SIM dari pelanggan Indonesia. / #Hacker #Bjorka #Pemerintah #Indonesia #DataBocor #Kebocorandata #JernihMelihatDunia   Baca di  https://t.co/3WkngP1d5N  https://t.co/EeHfpG5UMS",negatif
"Pada 20 Agustus 2022, Bjorka mengumumkan bahwa dirinya menjual 26 juta data riwayat pencarian pengguna IndiHome di situs Breached Forums. / #Tren #Hacker #Bjorka #Pemerintah #Indonesia #Kemenkominfo #Publik #DataBocor #Jokowi #JernihMelihatDunia  https://t.co/ZPWKIpWNEt",negatif
"Sejumlah dugaan kebocoran data yang dibeberkan ""Hacker"" Bjorka, mulai dari data masyarakat Indonesia, data diri para pejabat negara, hingga kasus Munir. / #Tren #Hacker #Bjorka #Indonesia #DataBocor #Kebocorandata #JernihMelihatDunia   Baca di  https://t.co/3WkngP1d5N  https://t.co/n0x3qlQE1T",negatif
BSSN Telusuri Dugaan Kebocoran Data Penyelenggara Sistem Elektronik   https://t.co/Fb5JpQ11pu #bssn #databocor,netral
Data Pribadi Diperjualbelikan di Forum Online  https://t.co/kfGGPCtxWl  #databocor #ktp #nik #kamujahat #bjorkanism #Online #Data #bandung #kompastvjabar  https://t.co/YsuZB0TiMC,negatif
Mahfud MD TegaskanData yang Diunggah Bjorka Tidak Ada Kaitannya dengan Data Rahasia Negara  https://t.co/8ptkDhmqhu #Bjorka #DataBocor #headline #MahfudMD,positif
#bjorkanism #JohnnyGPlate #databocor #OpenSource #Indonesia #AliveGod  https://t.co/NHPvvuTghh,netral
"@cnbcindonesia  https://t.co/hWm91XmjjX  Data pribadi bocor kerap ditemui. Sayang, negara tidak bisa melindungi warganya karena UU terkait belum ada. Warga BSD pun melayangkan surat ke Jokowi. #daruratdigital #databocor #PDP",negatif
"Data PSE Alami Kebocoran, Mardani Ali Sera: Ini Jadi Tamparan Atas Kewibawaan Pemerintah  https://t.co/Iz4AF3cpnV #DataBocor #headline #KebocoranData #MardaniAliSera",negatif
"Bjorkanism Tumbang, Muncul Akun Baru Hacker Bjorka di Twitter?  https://t.co/WCfo8RMnZz   #inilahbandung #bjorkanism #Bjorka #Hackers #databocor #kebocorandata #Indonesia #info #berita  https://t.co/ogH3FLV9gn",netral
 https://t.co/jsYMyJebuj  #databocor,netral
#HoaxDataBocor #LindungiDatamu #DatakuAman #databocor  https://t.co/kFeX9P36rz,netral
#HoaxDataBocor #LindungiDatamu #DatakuAman #databocor  https://t.co/SsXSEkR9Ih,netral
#HoaxDataBocor #LindungiDatamu #DatakuAman #databocor  https://t.co/YLLmJwBH3D,netral
Data bocor dan hacker itu mengungkapkan Kisah kelam bumi pertiwi ini -inisial G- #databocor #baubusuk #tercium,negatif
Kedaulatan data; Negara tidak boleh kalah dengan para hacker!   #databocor,positif
"Akun Hilang, Bjorka Muncul Lagi dan Membuka Data Menko Luhut  https://t.co/kF3Qbik1nh  #Bjorka #LuhutBinsarPandjaitan #DataBocor",netral
Mulaii panikkk ygy sampek Pemerintah Indonesia collab ama BuzzerRP buat nyerang balik @bjorkanism  #bjorkanism  #databocor  https://t.co/A1MjCoYtLu,negatif
Analoginya ..kalian Mabok2an sama gank kalian...giliran bayar kita2 yg ga ikutan mabok2an disuruh ikut patungan!!! Ente sehat... #databocor #tanggungjawabbersama #ngeBO,negatif
Badan Siber dan Sandi Negara (BSSN) menyampaikan telah melakukan penelusuran terhadap beberapa dugaan insiden kebocoran data terkait dokumen dan surat kepresidenan.  #BSSN #DataBocor #Kebocorandata #lampungpost  https://t.co/OfbP6URp0P.,positif
Berita terbaru kebocoran data  https://t.co/bD3lej0UZf #databocor  #Viral  #TikTok  https://t.co/wlv8izL3MX,netral
lapor ke kominfo âŽ lapor ke bssn âŽ lapor ke sini âœ…  #databocor #databreach  https://t.co/WSbZ68GmW2,negatif
Kenapa nama gw ada di daftar anggota partai politik?  Efek data komintol bocor?  Atau gmn?  #Bjorka #Kominfo #databocor  https://t.co/hgKSOb2Q5m,negatif
"data bocor? orang Kominfo bingung? ya iyalah bingung, masuk kerja aja lewat orang dalam chuakzzzz #databocor",negatif
Berikut analisis sentimen kebijakan kenaikan harga BBM selama 26 Agustus -10 September 2022. #TolakTerusKenaikanBBM #TolakKenaikanBBM #TolakKenaikanHargaBBM #BBM #bbmnaik #Data #DataScience #BigData #tiktokhot #Viral #TikTokLive #databocor #LoveStory #indoviral #earthquake  https://t.co/89kN4rcNAH,netral
"Anggota Komisi I DPR RI, Sukamta menyampaikan bahwa Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) akan segera disahkan menjadi undang-undang (UU) dalam waktu dekat. @DPR_RI  #RUUPDP #databocor   https://t.co/5GW6Xugplh",positif
"Kemarin Johny, Hari Ini Bjorka Sapa Puan Hingga Denny Siregar  https://t.co/iFihcJV8oz  #Bjorka #Bjorkanism #Doxing #PuanMaharani #DataBocor",positif
paling gampang cek aja instansi2 yang datanya bocor pakai isp apa ? apakah isp tsbt pernah bocor datanya ? termasuk ip adresess nya ? #databocor,positif
Penasaran ama grup wa kominfo ama pemerintahan wkwkwk  #Bjorka  #bjorkanism  #munir  #databocor,netral
"Eh penonton... katanya ada yang panik sama keberpihakan masyarakat ke hacker ilegal, lah situ gagal jadi sosok pahlawan yg pro rakyat sih ðŸ˜‚  #koakset #komikakalsehat #vforvendetta #stopbeinganidiot #kominfo #databocor #bjorka #hackerindonesia #hackerbjorka  https://t.co/874sVfwjnQ",negatif
Lebih baik telat daripada kagak sama sekali   #databocor,negatif
Karena data pribadi Pakde sm Wapres dah bocor sebelumnya? #Bjorka #databocor,negatif
"Kisruh Data Bocor, BSSN Sebut masih Lakukan Langkah Ini â€¦  https://t.co/9CQF4ccdkE #DataBocor #Hacker",positif
 https://t.co/ndSCQjnxkA #Bjorka #DokumenPresiden #klaim #DataBocor,netral
"Haduh.... Jadi apa nih pak fungsi kominfo? Mana gak cuman sekali lagi bocornya! ðŸ˜µâ€ðŸ’«  Tonton full videonya di YT Cameo, link di bio! ( https://t.co/ZkTp0YAJcT)  #cameoproject #kominfo #databocor #hacker  https://t.co/zinaGKxayD",negatif
Mengapa rakyat indonesia memuja-muja Bjorka padahal dia ngehack dan membocorkan data pribadi mereka sendiri?dan membully rakyat indonesia sendiri?  #kominfo #databocor,positif
"Ketika data rakyat dicuri mereka tidak peduli namun ketika data mereka sendiri diambil mereka panik, indahnya negri ku. Pejabat nomor 1, rakyat no 100.  September,2022. #hackerbjorka #Indonesia #databocor",negatif
Badan Intelijen Negara (BIN) akhirnya angkat bicara terkait isu kebocoran ribuan surat yang dikirim oleh pihaknya kepada Presiden Joko Widodo (Jokowi). @binofficial_ri  @setpresRI #DataBocor  https://t.co/LlVVGBkeLd,positif
Bjorka meresahkan ðŸ˜“  #supportlocal #foryourpage #tiktok #k #wonderfullombok #beritahariini #wonderfullombok #beritahariini #mediasosial #repostplus #holareels #reelsindonesia #videooftheday #newstoday #newsofheday #hackerbjorka #Bjorka #databocor  https://t.co/o6T9XMakra,negatif
Kasetpres Bantah Data Surat dan Dokumen Presiden Bocor  https://t.co/sJjfIWTYUg  #Bjorka #DataBocor #SuratPresiden,positif
"7. ""Saya rasa penegak hukum akan melakukan tindakan hukum. Nanti akan ada pernyataan resmi pejabat terkait,"" ucap Kepala Sekretariat Presiden Heru Budi Hartono. Simak informasi selengkapnya dalam artikel berikut. * #BIN #DataBocor #Bjorka  https://t.co/q1AngfaJKI",positif
"6. Juru Bicara BIN Wawan Hari Purwanto juga menepis kabar dokumen atau surat-surat dari BIN untuk Presiden telah bocor. Wawan menegaskan, surat untuk presiden diberi pengaman khusus. * #BIN #DataBocor #Bjorka  https://t.co/PHFYuhIWyQ",positif
"5. Kepala Sekretariat Presiden Heru Budi Hartono memastikan, tidak ada satu pun dokumen surat menyurat Presiden Joko Widodo yang diretas. * #BIN #DataBocor #Bjorka  https://t.co/6QM0caZ6Yb",positif
"4. Dokumen tersebut antara lain â€œPermohonan Dukungan Sarana dan Prasarana"", ""Surat Rahasia kepada Presiden dalam amplop tertutup"" dan ""Gladi Bersih dan Pelaksanaan Upacara Bendera pada Peringatan HUT ke-74 Tahun 2019"".* #BIN #DataBocor #Bjorka  https://t.co/ROemZ3WHTt",positif
3. Dokumen-dokumen periode 2018-2021 itu diunggah di situs  https://t.co/RtNzC8sEPw dan salah satu dokumen berasal dari Badan Intelijen Negara (BIN) untuk Presiden Jokowi. * #BIN #DataBocor #Bjorka  https://t.co/q1AngfaJKI,positif
"2. Dalam unggahannya, hacker tersebut menjelaskan bahwa telah mengunggah total 679.180 dokumen berukuran 40 MB. * #BIN #DataBocor #Bjorka  https://t.co/WglwlnIMkn",negatif
"1. Kali ini, hacker mengklaim telah memiliki surat dan dokumen yang ditujukan ke Presiden Republik Indonesia. Disebutkan bahwa dokumen untuk Kepala Negara itu dibocorkan ke deep web oleh aktor jahat bernama Bjorka. * #BIN #DataBocor #Bjorka  https://t.co/PHFYuhIWyQ",negatif
Mosok bjorka orang Indonesia yang bisa geser satelit #databocor,positif
"{Thread}  Ramai soal Surat Rahasia untuk Presiden Diklaim Bocor, BIN Tegaskan Hoaks * #BIN #DataBocor #Bjorka    https://t.co/PHFYuhJuoo",positif
SALE SALE SALE  HOODIE JUMPER BY TOP TEN  SIZE M LD116/P68 WARNA PEKAT LIKE NEW  HARGA 115K AJA FREEONG IN SHOPEE ðŸ˜€ #bjorka #databocor #ceritahoror #sarapan #demobbm #TolakKenaikanBBM #ceritahaid #ceritanakal #diskongede #jakartaselatan #demojakarta  https://t.co/BcpWKYpTQY,netral
Apalagi ini?? Rentan bgt data di Indonesia (kalau valid)  https://t.co/tmUuGnRLxs  #kpu #databocor #data #Hackers,positif
"Tuh kan bocor lagi. Nambalnya pake apa sih? Dah coba Aquaproof belum? Coba dah, dijamin no wahid  #databocor",negatif
Sekarang berada di pasaran ya gaes ya   Menkominfo idiot #databocor  https://t.co/P8nqt9sG6P,negatif
"Bentar lagi viral pastii, setelah bocor 1,3M SIMCARD bocor. Ini anget banget soalnya tadi dini hari jam 01. Data Ijasah lengkat sama KTP, Akta dan KK. Dijual $100. #kominfo #bocor #databocor  https://t.co/GOYkeWlWp0",positif
"Kasih tau bang, badeur banget jadi bocah yak. Malah tunjuk sana tunjuk sini. Kata gw mah, kalo data bocor tinggal dikasih Aquaproof aja beres. Genteng rumah gw juga dah ga bocor lagi...alhamdulilah aman. Dah cobain dah.  #databocor #kominfo #kpu #konoha  https://t.co/WCzDU2ENrD",negatif
@ShopeeID Bangsat siapa pelakunya Jauh tidak Sama Yang Punya Toko? #ShopeePelindungSellerAnjenk #DataBocor  https://t.co/N3ZpX4xntj,negatif
"Harga minyak dunia terjun bebas, harga BBM Nasional meroket  Hacker dunia iseng, data Nasional ludes  #BBMNaik_RakyatMenjerit  #databocor",netral
SALE SALE SALE  CREWNECK RAJUT BY UNIQLO  SIZE M LD 126/P 65 FULL RAJUT KEPANG ACCENT KEPANG BESAR LIKE NEW  SALE JADI 99K FREEONGKIR IN SHOPEEðŸ˜„ #bbmnaik #kominfo #databocor #sambo #nikbocor #Demomahasiswa #demobbm  https://t.co/p4ghZ1P9AC,netral
@kemkominfo Ya inilah negara konoha #databocor #kominfo semua pekerja semua orang tomlol gak tahu teknologi.,negatif
Situs Forum Hacker Penjual Data  https://t.co/5kPDjeoGpN  #GTVNews #GTV #Hacker #PLN #IndiHome #JasaMarga #KebocoranData #DataBocor  https://t.co/Lbb4t3ZEDZ,netral
@agitavia @hhaeeew Hati hati no penipu  Dengan modus mengirimkan barang menggunakan akun fake lalu belanja di toko sendiri. Dgn alamat tujuan acak/ dapat dr toko sebelah . Lewat COD #DataBocor  https://t.co/p1flQrVaBs,netral
"Masa cuma bilang data bukan bocor dari tempat lo lalu masalahnya selesai @kemkominfo. Lo kan yg wajibkan kita kasih data dan sekarang datanya bocor. Dasar sekateÂ² , ente suka ngandiÂ² , ente nih kadangÂ² seringnya gak ngotak, #BlokirKominfo #databocor cc @jokowi @PolhukamRI @DPR_RI",negatif
